customer_id,archetype,age,gender,product_category_preference,support_tickets,annual_income,spending_score,recency_days,frequency,monetary,discount_usage_rate,loyalty_years,returns_rate,online_purchase_ratio,avg_order_value,clv_score,engagement_score
CUST_0001,E,45,M,Electronics,2,19156.62,83,48,16,331.66,0.5011348195399216,1,0.04455860000780976,0.9574138702473742,20.73,108.3,47.23
CUST_0002,A,39,F,Home,0,123352.08,78,24,74,11548.94,0.009714319310320003,5,0.02083104473304093,0.458903943869168,156.07,34184.86,161.34
CUST_0003,C,18,M,Home,1,45599.81,48,35,55,2764.11,0.9551903206299635,4,0.2909293870491384,0.43119997976324725,50.26,4222.95,118.48
CUST_0004,C,52,F,Home,0,45760.99,40,18,45,1459.97,0.8485638416996809,8,0.22715364026911244,0.8905380744419173,32.44,3457.82,113.37
CUST_0005,C,39,M,Clothing,1,46754.93,61,28,33,1464.8,0.6108956022604113,6,0.2869632113489691,0.5365940954759062,44.39,1666.84,77.3
CUST_0006,C,50,M,Grocery,0,27622.92,60,14,43,1580.16,0.7797268857611815,3,0.12242389504612204,0.6930051174821191,36.75,4529.79,107.0
CUST_0007,C,50,M,Books,5,46506.78,59,24,36,2456.96,0.7808685787361296,1,0.1796042654388268,0.6342118986636663,68.25,3538.02,73.85
CUST_0008,E,40,M,Electronics,4,31294.1,93,59,20,224.66,0.32822157127821827,1,0.04842217007764699,0.8516510697365558,11.23,74.89,46.73
CUST_0009,A,59,M,Beauty,5,148111.25,78,7,61,7680.36,0.07128027786252417,8,0.007069323171827008,0.4525078240668232,125.91,58562.74,130.34
CUST_0010,C,44,F,Clothing,0,40945.33,51,4,46,2772.85,0.9381654898081898,4,0.26546165057674775,0.6268178603813049,60.28,25510.22,129.54
CUST_0011,A,31,F,Sports,7,156544.86,78,25,42,8088.19,0.05189494557704611,11,0.04349083798000543,0.3964850188621031,192.58,13065.54,74.93
CUST_0012,C,30,M,Clothing,2,43381.29,66,22,58,864.27,0.9598654907562382,4,0.23829481785796025,0.6254623927588876,14.9,2179.46,127.05
CUST_0013,C,60,F,Clothing,2,34885.53,46,8,22,1356.42,0.7953562582627064,7,0.18598961782649015,0.7057385750158444,61.66,3315.69,64.61
CUST_0014,B,39,M,Sports,2,48964.05,44,152,13,736.85,0.37844151665888826,2,0.09038384369845003,0.484178340048359,56.68,62.61,30.34
CUST_0015,A,69,F,Beauty,4,203338.34,88,3,45,14612.29,0.07357290243726707,8,0.025104287774466764,0.5345088692358048,324.72,164388.26,122.02
CUST_0016,A,48,F,Clothing,2,159206.14,90,7,30,7159.57,0.057162064440587475,6,0.012009123197825378,0.6456043279866505,238.65,26848.39,81.2
CUST_0017,B,38,M,Sports,0,47134.18,64,152,3,580.99,0.29006665541472226,1,0.14156733593117948,0.5543316234642592,193.66,11.39,17.74
CUST_0018,A,43,F,Grocery,0,138546.78,82,15,72,10203.29,0.0632959072649193,5,0.021105959642264596,0.6063519309872561,141.71,45914.81,162.79
CUST_0019,D,32,F,Grocery,1,89000.9,26,261,3,4654.69,0.07500930042743403,5,0.4011035080555626,0.545778533098509,1551.56,53.3,14.3
CUST_0020,E,24,F,Sports,0,18992.39,70,18,20,681.56,0.5003522118923787,0,0.013136855906880414,0.7487819522166413,34.08,717.43,60.53
CUST_0021,B,19,M,Books,2,37633.67,66,182,4,802.54,0.22244653350850116,2,0.14070456743113804,0.3373882326305916,200.64,17.54,9.3
CUST_0022,D,32,F,Sports,0,126100.59,36,329,3,3536.3,0.1360616532570944,7,0.19080180238117408,0.6632345055855647,1178.77,32.15,19.57
CUST_0023,E,45,F,Books,1,31996.93,61,6,17,195.25,0.2908411239875246,1,0.08740284573750615,0.8244533420585186,11.49,474.18,64.16
CUST_0024,C,26,F,Sports,2,27649.78,42,30,45,2384.0,0.9340688855846464,5,0.23500456835877687,0.3772941532253054,52.98,3460.65,94.88
CUST_0025,E,43,F,Sports,4,19611.06,74,3,21,240.64,0.49823025925142844,1,0.03758631772630658,0.7736451229673682,11.46,1263.36,78.81
CUST_0026,A,38,F,Clothing,4,158851.23,100,5,50,2077.07,0.08059638906278313,9,0.02634124483064184,0.6619088460892574,41.54,17308.92,121.24
CUST_0027,C,37,M,Sports,0,45741.0,43,16,52,599.15,0.9680259670998729,7,0.10666659453329826,0.5876442449410606,11.52,1832.69,122.0
CUST_0028,C,38,F,Clothing,1,38771.37,50,11,36,1869.71,0.8292085166778848,4,0.26027404953384126,0.7194665501004573,51.94,5609.13,92.48
CUST_0029,B,59,F,Grocery,4,39267.48,50,91,5,490.12,0.4615965342280329,2,0.10002659996866153,0.5647994491936709,98.02,26.64,10.39
CUST_0030,A,38,F,Beauty,5,177943.19,96,13,69,5583.31,0.029197368704750273,7,0.006530676545811738,0.7300064480731303,80.92,27517.74,145.29
CUST_0031,B,42,F,Electronics,1,50942.07,41,123,14,1174.76,0.4668745375437926,2,0.06601205185287651,0.4017196400446957,83.91,132.63,33.85
CUST_0032,C,40,F,Grocery,1,36476.73,45,35,52,1049.77,0.88951190161063,4,0.20963181773402473,0.5055312412031875,20.19,1516.33,113.97
CUST_0033,B,53,M,Electronics,4,54058.34,63,163,3,838.24,0.3743826083070015,0,0.12132418354872253,0.38700048164243106,279.41,15.33,2.35
