customer_id,archetype,age,gender,product_category_preference,support_tickets,annual_income,spending_score,recency_days,frequency,monetary,discount_usage_rate,loyalty_years,returns_rate,online_purchase_ratio,avg_order_value,clv_score,engagement_score,cluster,segment_name,pca_x,pca_y
CUST_0001,E,45,M,Electronics,2,19156.62,83,48,16,331.66,0.5011348195399216,1,0.0445586000078097,0.9574138702473742,20.73,108.3,47.23,3,Young Explorers,0.23511037417378658,-2.2915594802372277
CUST_0002,A,39,F,Home,0,123352.08,78,24,74,11548.94,0.00971431931032,5,0.0208310447330409,0.458903943869168,156.07,34184.86,161.34,2,Premium Loyalists,3.6635150686246596,1.5353410403378482
CUST_0003,C,18,M,Home,1,45599.81,48,35,55,2764.11,0.9551903206299636,4,0.2909293870491384,0.4311999797632472,50.26,4222.95,118.48,0,Bargain Hunters,0.28751418904285186,-1.1212389319253826
CUST_0004,C,52,F,Home,0,45760.99,40,18,45,1459.97,0.8485638416996809,8,0.2271536402691124,0.8905380744419173,32.44,3457.82,113.37,0,Bargain Hunters,0.6903531678626449,-1.3193797923858568
CUST_0005,C,39,M,Clothing,1,46754.93,61,28,33,1464.8,0.6108956022604113,6,0.2869632113489691,0.5365940954759062,44.39,1666.84,77.3,0,Bargain Hunters,-0.09130837918902429,-0.7601869419322693
CUST_0006,C,50,M,Grocery,0,27622.92,60,14,43,1580.16,0.7797268857611815,3,0.122423895046122,0.6930051174821191,36.75,4529.79,107.0,0,Bargain Hunters,0.7495082227733889,-1.9016144426107213
CUST_0007,C,50,M,Books,5,46506.78,59,24,36,2456.96,0.7808685787361296,1,0.1796042654388268,0.6342118986636663,68.25,3538.02,73.85,0,Bargain Hunters,0.13635695546039053,-1.5830054694849824
CUST_0008,E,40,M,Electronics,4,31294.1,93,59,20,224.66,0.3282215712782182,1,0.0484221700776469,0.8516510697365558,11.23,74.89,46.73,3,Young Explorers,0.410453215928487,-1.8402577687632047
CUST_0009,A,59,M,Beauty,5,148111.25,78,7,61,7680.36,0.0712802778625241,8,0.007069323171827,0.4525078240668232,125.91,58562.74,130.34,2,Premium Loyalists,3.5198543154537845,1.6690051804629156
CUST_0010,C,44,F,Clothing,0,40945.33,51,4,46,2772.85,0.9381654898081898,4,0.2654616505767477,0.6268178603813049,60.28,25510.22,129.54,0,Bargain Hunters,0.8049355342554089,-1.3911817245460545
CUST_0011,A,31,F,Sports,7,156544.86,78,25,42,8088.19,0.0518949455770461,11,0.0434908379800054,0.3964850188621031,192.58,13065.54,74.93,2,Premium Loyalists,2.244025192310519,2.103125545148736
CUST_0012,C,30,M,Clothing,2,43381.29,66,22,58,864.27,0.9598654907562382,4,0.2382948178579602,0.6254623927588876,14.9,2179.46,127.05,0,Bargain Hunters,0.9315420442664202,-1.80960598519663
CUST_0013,C,60,F,Clothing,2,34885.53,46,8,22,1356.42,0.7953562582627064,7,0.1859896178264901,0.7057385750158444,61.66,3315.69,64.61,0,Bargain Hunters,-0.15258274641937547,-1.305582092048126
CUST_0014,B,39,M,Sports,2,48964.05,44,152,13,736.85,0.3784415166588882,2,0.09038384369845,0.484178340048359,56.68,62.61,30.34,4,Occasional Shoppers,-1.3323704575406214,-0.529317837699176
CUST_0015,A,69,F,Beauty,4,203338.34,88,3,45,14612.29,0.073572902437267,8,0.0251042877744667,0.5345088692358048,324.72,164388.26,122.02,2,Premium Loyalists,5.065330132959718,3.4237181690652005
CUST_0016,A,48,F,Clothing,2,159206.14,90,7,30,7159.57,0.0571620644405874,6,0.0120091231978253,0.6456043279866505,238.65,26848.39,81.2,2,Premium Loyalists,2.3873858720653693,1.1604701500850192
CUST_0017,B,38,M,Sports,0,47134.18,64,152,3,580.99,0.2900666554147222,1,0.1415673359311794,0.5543316234642592,193.66,11.39,17.74,4,Occasional Shoppers,-1.483155640441111,-0.6199740033452714
CUST_0018,A,43,F,Grocery,0,138546.78,82,15,72,10203.29,0.0632959072649193,5,0.0211059596422645,0.6063519309872561,141.71,45914.81,162.79,2,Premium Loyalists,3.937806532265949,1.301863320808694
CUST_0019,D,32,F,Grocery,1,89000.9,26,261,3,4654.69,0.075009300427434,5,0.4011035080555626,0.545778533098509,1551.56,53.3,14.3,1,At-Risk High-Value,-2.7999290608573575,2.267067763128687
CUST_0020,E,24,F,Sports,0,18992.39,70,18,20,681.56,0.5003522118923787,0,0.0131368559068804,0.7487819522166413,34.08,717.43,60.53,3,Young Explorers,0.16535300753421034,-2.193456697157968
